Headword (Family),List Level,Occurrences
hide,1k,2
flat,1k,2
content,3k,2
shark,5k,2
closed,1k,2
law,1k,2
persist,3k,2
offer,1k,2
courtier,10k,2
triumph,3k,2
frog,2k,2
bishop,3k,2
knot,4k,2
ornament,5k,2
proceed,3k,2
earl,4k,2
pie,2k,2
ill,2k,2
pleasure,2k,2
kindly,2k,2
royal,2k,2
meek,8k,2
brown,1k,2
woman,1k,2
conclusion,3k,2
underneath,1k,2
neighbour,1k,2
front,1k,2
pencil,4k,2
drawl,7k,2
shy,1k,2
blast,3k,2
summer,1k,2
giddy,9k,2
sand,2k,2
flapper,15k,2
rave,6k,2
wag,7k,2
atom,3k,2
cushion,5k,2
salt,2k,2
bad,1k,2
shower,2k,2
pebble,6k,2
hit,1k,2
produce,2k,2
narrow,2k,2
thousand,1k,2
rapid,2k,2
safe,1k,2
mystery,2k,2
excellent,2k,2
flower,1k,2
tie,1k,2
maybe,1k,2
goose,5k,2
recover,2k,2
conquer,5k,2
conclude,3k,2
apple,2k,2
snatch,4k,2
raven,7k,2
wink,5k,2
rested,1k,2
wine,1k,2
month,1k,2
onion,2k,1
purple,2k,1
thunder,4k,1
push,1k,1
character,2k,1
oblong,11k,1
club,1k,1
trust,1k,1
obstacle,4k,1
act,1k,1
protect,1k,1
flutter,5k,1
secret,2k,1
laughter,3k,1
examine,2k,1
pattern,2k,1
pun,8k,1
afore,8k,1
meanwhile,3k,1
justly,6k,1
ripe,5k,1
gather,2k,1
boxed,4k,1
glare,4k,1
tinkle,10k,1
opposite,2k,1
clasp,5k,1
mischief,6k,1
ball,1k,1
reed,6k,1
affair,2k,1
cardboard,5k,1
shepherd,5k,1
ripple,5k,1
mallet,11k,1
honest,1k,1
ink,4k,1
evident,3k,1
merry,2k,1
clamour,7k,1
guilty,2k,1
involve,1k,1
velvet,5k,1
trickle,5k,1
clap,5k,1
meal,1k,1
diamond,4k,1
imitate,4k,1
lowed,15k,1
recognize,2k,1
cattle,3k,1
provoke,3k,1
marched,4k,1
roar,2k,1
chief,2k,1
gain,2k,1
cackle,9k,1
fidget,8k,1
deserve,2k,1
frontispiece,13k,1
cheek,2k,1
wear,1k,1
justice,2k,1
refresh,4k,1
form,1k,1
guard,2k,1
seal,2k,1
salmon,4k,1
chain,2k,1
arrive,1k,1
throne,5k,1
retire,2k,1
seat,1k,1
